iter	Passed	Remaining
0	141	141006
1	146	73333
2	151	50350
3	154	38565
4	159	31663
5	162	26875
6	165	23427
7	167	20823
8	170	18815
9	173	17188
10	178	16068
11	181	14940
12	184	13979
13	187	13178
14	190	12530
15	194	11968
16	197	11441
17	202	11074
18	206	10655
19	209	10257
20	211	9872
21	214	9538
22	216	9216
23	219	8928
24	221	8651
25	224	8422
26	227	8191
27	229	7976
28	232	7770
29	234	7579
30	236	7402
31	239	7245
32	242	7101
33	244	6946
34	247	6811
35	249	6678
36	251	6555
37	254	6440
38	257	6352
39	260	6260
40	263	6172
41	266	6089
42	269	6007
43	273	5952
44	278	5901
45	281	5829
46	283	5758
47	287	5693
48	290	5644
49	293	5579
50	296	5514
51	298	5449
52	301	5383
53	303	5319
54	306	5266
55	307	5186
56	310	5129
57	312	5072
58	314	5020
59	317	4968
60	319	4920
61	322	4880
62	324	4833
63	327	4786
64	329	4746
65	332	4704
66	334	4663
67	337	4625
68	340	4588
69	342	4549
70	344	4511
71	347	4475
72	349	4440
73	352	4405
74	355	4381
75	358	4355
76	361	4331
77	363	4300
78	366	4274
79	369	4247
80	373	4236
81	376	4212
82	378	4182
83	380	4154
84	383	4125
85	385	4097
86	388	4073
87	390	4045
88	392	4017
89	394	3990
90	396	3963
91	398	3936
92	400	3910
93	403	3888
94	405	3862
95	407	3840
96	409	3815
97	412	3792
98	414	3769
99	416	3746
100	419	3731
101	421	3709
102	423	3688
103	425	3668
104	428	3650
105	430	3633
106	433	3613
107	435	3597
108	437	3580
109	440	3563
110	442	3544
111	444	3525
112	447	3512
113	450	3497
114	452	3484
115	456	3479
116	459	3470
117	462	3457
118	464	3442
119	467	3427
120	469	3412
121	472	3397
122	474	3382
123	476	3367
124	478	3352
125	481	3337
126	483	3323
127	486	3314
128	488	3300
129	490	3285
130	492	3269
131	494	3253
132	496	3238
133	498	3223
134	502	3217
135	504	3203
136	506	3188
137	508	3175
138	510	3161
139	512	3148
140	514	3135
141	517	3128
142	520	3116
143	522	3103
144	524	3089
145	525	3076
146	527	3063
147	530	3052
148	532	3040
149	535	3033
150	537	3022
151	540	3012
152	542	3001
153	544	2990
154	546	2980
155	549	2970
156	551	2960
157	553	2949
158	555	2938
159	557	2925
160	559	2913
161	560	2901
162	562	2890
163	565	2882
164	567	2872
165	569	2861
166	571	2850
167	573	2840
168	575	2830
169	577	2820
170	579	2810
171	582	2803
172	584	2793
173	586	2782
174	588	2772
175	589	2761
176	591	2752
177	594	2743
178	596	2734
179	598	2725
180	600	2717
181	603	2710
182	605	2702
183	607	2692
184	609	2684
185	611	2675
186	613	2666
187	615	2659
188	617	2650
189	619	2641
190	621	2633
191	623	2624
192	625	2615
193	627	2607
194	630	2601
195	632	2593
196	634	2585
197	636	2579
198	639	2572
199	641	2565
200	643	2557
201	645	2549
